ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q14,Q1,Q2,Q3,Q3_TEXT,Q4,Q4_TEXT,Q5,Q5_TEXT,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_6_TEXT,Q7,Q8,Q9,Q10,Q11,Q12_1,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Please ask the experimenter for your Participant Number and enter / it below.,Please indicate your gender:,Please indicate your age:,In what country were you born?,In what country were you born?-TEXT,Are you a U.S. citizen?,Are you a U.S. citizen?-TEXT,How long have you lived in the United States?,How long have you lived in the United States?-TEXT,"If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-African American","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-American Indian","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-Asian American","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-Hispanic/Latino","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-White/Caucasian","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-Other; please specify","If you are an American citizen, permanent resident, or have a green / card, what is your racial/eth...-Other; please specify-TEXT","If you are not an American citizen, please indicate your primary / national affiliation (e.g. Chine...","Do you have any food allergies or known dietary restrictions? If / so, please list them below.",Are you on a diet with the goal of losing weight?,"Are you on any other type of diet? If so, please specify the name / of the diet:",How many hours has it been since you last ate?,"How hungry are you right now? Please use the following scale: 1 = / not at all hungry, 3 = neutral,...-Hunger",LocationLatitude,LocationLongitude,LocationAccuracy
R_1NsRecFyqqZtD5Q,Default Response Set,Anonymous,,,152.3.21.128,0,2/3/15 12:23,2/3/15 12:24,1,Px01,2,19,1,,1,,1,,,,,,1,,,,,2,,2,3,35.9954071,-78.90190125,-1
R_2fqh9CY5ocW9laC,Default Response Set,Anonymous,,,152.3.21.128,0,2/3/15 12:48,2/3/15 13:31,1,Px02,2,19,1,,1,,1,,,,,1,1,,,,n/a,2,n/a,4,4,35.9954071,-78.90190125,-1
R_1IGZc99HHk1ycpU,Default Response Set,Anonymous,,,152.3.21.128,0,2/3/15 14:42,2/3/15 14:44,1,Px03,1,25,1,,1,,2,24,1,1,,,,,,,No,2,,4.5,4,35.9954071,-78.90190125,-1
R_2qpEHVCt4czxiX0,Default Response Set,Anonymous,,,152.3.21.128,0,2/3/15 14:57,2/3/15 15:03,1,Px04,2,21,1,,1,,1,,1,,,,,,,,"lactose intolerant, no pork",2,,5,3,35.9954071,-78.90190125,-1
R_2s4G8DR2kywmeg6,Default Response Set,Anonymous,,,152.3.21.128,0,2/3/15 15:57,2/3/15 15:58,1,Px05,2,19,1,,1,,1,,,,1,,,,,,,2,,5,4,35.9954071,-78.90190125,-1
R_2zcHkL4gGeKB3L6,Default Response Set,Anonymous,,,152.3.21.128,0,2/5/15 11:38,2/5/15 12:08,1,PX06,1,20,1,,1,,1,,,,1,,,,,,,2,,14,4,35.9954071,-78.90190125,-1
R_7NCUzvNB8vpuPhn,Default Response Set,Anonymous,,,152.3.21.128,0,2/6/15 10:35,2/6/15 10:57,1,px07,2,22,1,,1,,1,,,,,,1,,,,no,2,no,12,4,35.9954071,-78.90190125,-1
R_4UDWFLGngdLSish,Default Response Set,Anonymous,,,152.3.21.128,0,2/6/15 12:14,2/6/15 12:16,1,Px08,2,25,1,,1,,1,,1,,,,,,,,no,2,no,12,3,35.9954071,-78.90190125,-1
R_bHoOsWPQirfWUSh,Default Response Set,Anonymous,,,152.3.21.128,0,2/10/15 11:47,2/10/15 12:07,1,Px09,2,24,1,,1,,1,,,,,1,,,,,,2,No,5,3,35.9954071,-78.90190125,-1
R_1CEgO8ooxprozbq,Default Response Set,Anonymous,,,152.3.21.128,0,2/10/15 13:03,2/10/15 13:05,1,Px10,1,24,2,China,2,Chinese,2,4,,,,,,1,Not citizen,Chinese,No,2,No,3,4,35.9954071,-78.90190125,-1
R_esOZyCODvNafivL,Default Response Set,Anonymous,,,152.3.21.128,0,2/10/15 15:51,2/10/15 16:07,1,Px11,2,22,1,,1,,1,,1,,,,,,,,no,2,,6,4,35.9954071,-78.90190125,-1
R_YW8sMk1CYukFDTr,Default Response Set,Anonymous,,,152.3.21.128,0,2/12/15 12:25,2/12/15 12:26,1,Px12,2,18,1,,1,,1,,,,1,,1,,,,,1,,4,3,35.9954071,-78.90190125,-1
R_3niL21MY7syyEeA,Default Response Set,Anonymous,,,152.3.21.128,0,2/12/15 12:49,2/12/15 13:03,1,Px13,1,28,1,,1,,1,,,,,,1,,,,,2,,4.5,4,35.9954071,-78.90190125,-1
R_1ifI2vZ3mYYgf54,Default Response Set,Anonymous,,,152.3.21.128,0,2/12/15 14:02,2/12/15 14:05,1,sk387,1,26,2,India,2,Indian,2,0.5,,,,,,1,Asian,,No,2,,3,4,35.9954071,-78.90190125,-1
R_WrgeCKMUYyN1GfL,Default Response Set,Anonymous,,,152.3.21.128,0,2/13/15 11:33,2/13/15 11:57,1,Px15,2,28,1,,1,,1,,,,1,,1,,,,,2,,6.5,4,35.9954071,-78.90190125,-1
R_2th8ZbdLPINjVpB,Default Response Set,Anonymous,,,152.3.21.128,0,2/24/15 11:51,2/24/15 11:52,1,Px16,1,28,1,,1,,1,,1,,,,,,,,No,2,No,5,3,35.9954071,-78.90190125,-1
R_6maQTObc5ngKQTL,Default Response Set,Anonymous,,,152.3.21.128,0,2/24/15 12:46,2/24/15 12:49,1,PX17,2,21,2,Mexico,2,International student,2,10,,,,1,,,,Mexican,No,2,,4.5,,35.9954071,-78.90190125,-1
R_rdqjTynMbx7niYp,Default Response Set,Anonymous,,,152.3.21.128,0,2/25/15 13:48,2/25/15 15:05,1,Px18,2,20,1,,1,,2,6,,,,,1,,,,No,2,No,4,4,35.9954071,-78.90190125,-1
